"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"1-LM6","Obligatoria","Álgebra Abstracta I","","M(2011)","6","4.5","Ordinario","9","MEYA","Jesús Efrén","Pérez Terrazas","Álgebra","","","","","","25","25","","","17:00 - 18:30","D2","16:30 - 18:00","H6","17:00 - 18:30","C6","","","","","","",""
"2-LCC2","Obligatoria","Álgebra Avanzada","","CC(2016)","2","4.5","Regular","8","MEFI","Pedro David ","Sánchez Salazar","Álgebra","","35","","","","","35","10:00 - 11:30","C4","09:00 - 10:30","D3","08:00 - 09:30","C1","","","","","","","","",""
"3-MEFI1-G1","Obligatoria","Álgebra Intermedia","1","MEFI","1","4","Regular/Acompañamiento","8","MEFI","Ángel Adrián","Bacelis Jiménez","Álgebra","","","","","","","40","","","13:30 - 15:30","H1","","","","","15:30 - 17:30","C10","","","","",""
"3-MEFI1-G2","Obligatoria","Álgebra Intermedia","2","MEFI","1","4","Regular/Acompañamiento","8","MEFI","Ángel Adrián","Bacelis Jiménez","Álgebra","","","","","","","40","","","","","13:30 - 15:30","D4","","","13:30 - 15:30","C1","","","","",""
"3-MEFI1-G3","Obligatoria","Álgebra Intermedia","3","MEFI","1","4","Regular/Acompañamiento","8","MEFI","Abraham Moisés","Canul Pech","Álgebra","","","","","","","20","","","","","13:30 - 15:30","C8","","","13:30 - 15:30","C6","","","","",""
"6-LIC2-G1","Obligatoria","Álgebra Lineal","1","IC(2013)","2","4.5","Regular/Acompañamiento","8","MEFI","Alejandro Waldemar","Cobá Magaña","Álgebra","30","","","","","","30","09:00 - 10:30","H7","","","07:30 - 09:00","H6","10:30 - 12:00","C2","","","","","","",""
"6-LIC2-G2","Obligatoria","Álgebra Lineal","2","IC(2013)","2","4.5","Regular/Acompañamiento","8","MEFI","Alejandro Waldemar","Cobá Magaña","Álgebra","30","","","","","","20","12:00 - 13:30","C3","07:30 - 09:00","D4","","","","","09:00 - 10:30","C2","","","","",""
"8-LA3-Acompañamiento","Obligatoria","Álgebra Lineal","","A(2014)","3","2.5","Acompañamiento","9","MEFI","Victor Manuel ","Bautista Ancona","Álgebra","","","","20","","","20","","","14:00 - 16:30","D1","","","","","","","","","","",""
"9-LCC3-Acompañamiento+LIS3-Acompañamiento","Obligatoria","Álgebra Lineal","","CC(2016)-IS(2016)","3","2.5","Acompañamiento","8","MEFI","Carlos Jacob ","Rubio Barrios","Álgebra","","10","10","","","","20","","","","","","","15:00 - 17:30","D3","","","","","","",""
"10-LEM3-Acompañamiento","Obligatoria","Álgebra Lineal ","","E(2013)","3","2","Acompañamiento","8","MEFI","Carlos Jacob ","Rubio Barrios","Álgebra","","","","","15","","15","","","15:00 - 17:00","C4","","","","","","","","","","",""
"11-LM4","Obligatoria","Álgebra Lineal II","","M(2024)-M(2011)","4","4.5","Regular","8","MEFI 2-MEYA","Jesús Efrén ","Pérez Terrazas","Álgebra","","","","","","30","30","","","07:30 - 09:00","C7","","","07:30 - 09:00","C3","07:30 - 09:00","C3","","","","",""
"12-LIS2-G2","Obligatoria","Álgebra Superior","2","IS(2016)","2","4.5","Regular","8","MEFI","Alejandro Waldemar","Cobá Magaña","Álgebra","","","45","","","","45","07:30 - 09:00","H7","10:30 - 12:00","C10","","","09:00 - 10:30","H1","","","","","","",""
"12-LIS2-G3","Obligatoria","Álgebra Superior","3","IS(2016)","2","4.5","Regular","8","MEFI","María Guadalupe","Ordaz Arjona","Álgebra","","","45","","","","45","07:30 - 09:00","H1","10:30 - 12:00","D3","","","09:00 - 10:30","D2","","","","","","",""
"12-LIS2-G1","Obligatoria","Álgebra Superior","1","IS(2016)","2","4.5","Regular","8","MEFI","Carlos Jacob ","Rubio Barrios","Álgebra","","","45","","","","45","07:30 - 09:00","D4","10:30 - 12:00","H6","","","09:00 - 10:30","D1","","","","","","",""
"15-LEM2","Obligatoria","Álgebra Superior","","E(2013)","2","4","Regular","8","MEFI","Carlos Jacob ","Rubio Barrios","Álgebra","","","","","40","","40","","","07:30 - 09:30","H3","","","","","07:30 - 09:30","H1","","","","",""
"16-LCC1-Acompañamiento","Obligatoria","Álgebra Superior","","CC(2016)","1","2.5","Acompañamiento","8","MEFI","María Guadalupe","Ordaz Arjona","Álgebra","","15","","","","","15","","","","","","","13:30 - 16:00","H4","","","","","","",""
"17-LM2","Obligatoria","Álgebra Superior","","M(2024)","2","4.5","Regular/Recursamiento","8","MEFI","Javier Arturo ","Díaz Vargas","Álgebra","","","","","","35","35","09:00 - 10:30","C10","","","09:30 - 11:00","C4","","","09:00 - 10:30","C4","","","","",""
"18-LA1-Acompañamiento","Obligatoria","Álgebra Superior I","","A(2014)","1","2","Acompañamiento","5","MEFI","Alejandro","Argáez García","Álgebra","","","","20","","","20","","","","","13:30 - 15:30","D3","","","","","","","","",""
"19-LA2-G4","Obligatoria","Álgebra Superior II","4","A(2014)","2","3","Regular","6","MEFI","Victor Manuel ","Bautista Ancona","Álgebra","","","","43","","","43","","","","","09:00 - 10:30","D1","07:30 - 09:00","H2","","","","","","",""
"19-LA2-G3","Obligatoria","Álgebra Superior II","3","A(2014)","2","3","Regular","6","MEFI","Luis Celso ","Chan Palomo","Álgebra","","","","43","","","43","","","","","09:00 - 10:30","H4","07:30 - 09:00","H1","","","","","","",""
"19-LA2-G2","Obligatoria","Álgebra Superior II","2","A(2014)","2","3","Regular","6","mefi","Alejandro Waldemar","Cobá Magaña","Álgebra","","","","43","","","43","","","","","09:00 - 10:30","D4","07:30 - 09:00","H4","","","","","","",""
"19-LA2-G1","Obligatoria","Álgebra Superior II","1","A(2014)","2","3","Regular","6","MEFI","Carlos Jacob ","Rubio Barrios","Álgebra","","","","43","","","43","","","","","09:00 - 10:30","C10","07:30 - 09:00","D1","","","","","","",""
"23-LM8","Optativa","Álgebra Conmutativa","","M(2011)","8","4.5","Ordinario","9","MEYA","Javier Arturo ","Díaz Vargas","Álgebra","","","","","","20","20","13:30 - 15:00","H3","18:00 - 19:30","C8","","","13:30 - 15:00","D3","","","","","","",""
"24-LM4-G3+LCC4-G1","Optativa","Criptografia I","","M(2011)-M(2024)-CC(2016)-IS(2016)","4,4,4,6","4.5","Ordinario/Regular","9","MEYA-MEFI","Victor Manuel ","Bautista Ancona","Álgebra","","8","8","","","16","32","07:30 - 09:00","C2","10:30 - 12:00","H2","","","10:30 - 12:00","C8","","","","","","",""
"29-LEM2","Obligatoria","Didáctica de la Geometría","","E(2013)","2","5","Regular","10","MEFI","María del Pilar","Rosado Ocaña","Coord. LEM","","","","","40","","40","09:30 - 11:30","D1","","","","","09:30 - 11:00","C6","09:30 - 11:00","C6","","","","",""
"30-LEM6","Obligatoria","Didáctica de la Probabilidad y Estadística","","E(2013)","6","5","Regular","10","MEFI","Estelita ","García","Coord. LEM","","","","","25","","25","12:00 - 13:30","H4","","","","","12:00 - 13:30","C1","12:00 - 14:00","C8","","","","",""
"31-LEM4","Obligatoria","Planeación y Evaluación Educativa","","E(2013)","4","4","Regular","8","MEFI","María Guadalupe ","Ordaz Arjona","Coord. LEM","","","","","25","","25","09:30 - 11:30","D4","","","09:00 - 11:00","C3","","","","","","","","",""
